ACN,Local Time Of Day,Light,Flight Phase,Make Model Name,Weather Elements / Visibility,Locale Reference
115634,,,,,,ZDC
115779,1801-2400,Night,Descent; Descent; Initial Approach,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,N90
115791,1201-1800,Daylight,Cruise; Takeoff / Launch; Other Other,Small Aircraft; High Wing; 1 Eng; Fixed Gear,6.0,OMA
115940,1201-1800,Daylight,Other Other,Small Aircraft; High Wing; 1 Eng; Fixed Gear,30.0,BFL
116045,1801-2400,Night,Parked,Medium Large Transport; Low Wing; 2 Turbojet Eng,,STL
116138,1201-1800,Daylight,Cruise; Cruise,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,0.0,81J
116212,0001-0600,Dawn,Descent; Descent,Any Unknown or Unlisted Aircraft Manufacturer,,BKW
116532,0601-1200,Daylight,Descent; Descent,Military Transport,,GYG
116575,0601-1200,Daylight,Parked; Taxi,Widebody; Low Wing; 3 Turbojet Eng,,MSP
116685,0601-1200,Daylight,Cruise; Landing; Landing; Cruise,Helicopter,,GYR
